ingot_max,ingot_min,ingot_len,ingot_maxmin_diff,oil_pressure_max,oil_pressure_len,mould_mean,mould_maxmin_diff,bucket_mean,bucket_maxmin_diff,label
530.8071501358696,435.61903211805554,64,95.18811801781408,156.47623697916666,64,402.4768504754435,11.12498536100702,412.8237813636506,1.7161600074221042,B
538.3895803052326,388.5527768342391,135,149.83680347099346,177.85587754360466,135,382.11838160093174,15.836198200551053,411.09975203438023,2.914850354770522,B
591.2593500664893,420.6663480718085,113,170.59300199468083,169.98888380984042,113,363.0341084039359,8.257237876333818,414.4101399904524,2.950723050820727,B
534.03564453125,373.3097330729167,157,160.72591145833331,191.58365885416663,157,354.0606431100057,12.090155418882887,417.4381173664044,3.5759203361742493,B
519.6934678819445,377.2601744186047,190,142.43329346333974,209.9646526834239,190,342.40553464897295,10.990037290958014,420.3634650541862,2.968533186863965,B
555.2137586805555,438.1541907269022,178,117.05956795365336,214.87824813179347,178,337.20442970101357,9.448538414749748,422.1661386428648,2.8237749439801405,B
494.7878689236111,428.02734375,191,66.76052517361109,219.1009521484375,191,333.19530090359916,8.385095840845338,423.48284045164695,1.14990234375,B
480.1834542410714,356.6217041015625,51,123.56175013950889,170.40750254755434,51,330.81042336896144,5.081207583649018,423.4586197080901,0.673828125,B
495.2476607921512,445.6162109375,200,49.63144985465118,225.6561279296875,200,330.48458146319683,5.333409164891123,423.4849691919813,0.9611350754790919,B
490.2447775135869,426.8234592013889,152,63.42131831219797,196.89069475446428,152,330.3369472792056,5.121645720108688,422.68268915688515,1.741435521640824,B
555.9805575284091,352.11037375710225,188,203.87018377130687,230.6623186383929,188,330.640892980378,5.352383184130588,422.06392611281376,2.1729963099060683,B
504.0877278645833,453.4347401494565,187,50.65298771512681,225.58282081117025,187,332.2370418928907,6.831941150483658,421.7632188170485,1.8003028330176107,B
507.5992838541667,478.5904947916667,204,29.0087890625,222.44651100852272,204,330.2810448084187,7.623581659226204,422.110328199152,2.101732336956559,B
505.61143663194446,371.8403008643617,175,133.77113576758273,225.36978372713412,175,331.4436523015566,6.530288053457639,422.45335929450397,1.0063075558575179,B
504.1412353515625,418.68308327414775,178,85.45815207741475,221.49769176136363,178,333.09616917663914,6.363183232394761,422.1941524893459,1.876331676136374,B
495.27587890625,376.0856119791667,186,119.19026692708331,221.0656207540761,186,334.184493258938,7.425078263519481,422.4725681853187,1.1402600220959584,B
482.8781467013889,354.53402432528407,39,128.34412237610485,168.80450581395348,39,338.12588615275513,5.764034446985079,422.48210490272845,0.705217633928612,B
495.7439738948171,424.85243055555554,195,70.89154333926155,221.08072916666663,195,338.0186836735856,5.85790072086354,422.1480322871722,1.9483555216392574,B
496.5457286005435,415.58116824127904,181,80.96456035926445,225.13950892857144,181,339.1126961393045,5.8963391207909694,421.68212648586353,1.9352820102225792,B
496.6859994283537,455.1914685837766,188,41.49453084457707,222.21156529017856,188,340.4776089715817,7.107724309249363,421.44010058681215,0.9778611203457217,B
494.4399310172872,418.0556017287234,165,76.38432928856383,207.30245838994568,165,343.25539676970317,5.175132567179958,420.77421067598857,1.939844693538646,B
499.1322544642857,424.50042724609375,191,74.63182721819197,223.77392578125,191,342.85841317644866,7.990354525612872,420.509439497361,2.2607800387596626,B
524.5326005651596,458.7787291061047,179,65.75387145905484,225.11782438858697,179,339.6421457520614,4.627482096354186,420.4062776190787,0.9979926215277715,B
506.73276154891306,415.4209833559783,189,91.31177819293475,220.58268229166663,189,338.64565487083297,4.271350085313486,420.20696389928077,1.8776713937952536,B
511.2906161221591,492.37020803052326,181,18.920408091635863,220.71159518494895,181,338.37619886205164,5.372698314269485,420.0646082785592,1.985708565038749,B
575.7805686773256,395.9878864694149,172,179.79268220791073,217.3614501953125,172,338.3338288876349,5.473230437152381,420.20716842646283,1.8044473995271915,B
496.8470536901596,444.8638119904891,206,51.98324169967049,218.66526884191177,206,339.15518703242554,6.613421726844422,420.43894406248563,1.092930437942357,B
510.0607754321808,458.42035821143617,184,51.64041722074461,225.4499162946429,184,341.00565445212015,5.3525742946345645,419.6828265860637,1.7901989621877874,B
491.12646484375,455.6006920855978,184,35.525772758152186,224.53724254261363,184,341.88745730678266,6.212317425271749,419.041083163044,1.9734022352430998,B
496.2813313802083,431.9052522078805,148,64.37607917232782,204.54254150390625,148,343.27612562138586,5.803366268382376,418.392764438461,0.9865993923611427,B
497.34130859375,387.6829496343085,188,109.6583589594415,222.77943004261363,188,346.6314892991444,4.221043442234873,418.40082741303854,0.9445411571558111,B
495.2715070857558,346.39692826704544,175,148.87457881871035,221.9671075994318,175,347.2150434608799,5.706907732213438,418.38161772241824,1.1113705842391255,B
498.8974397078805,329.0657552083333,175,169.83168449954718,221.11069036989795,175,346.7434571912164,7.518444495665108,418.3894824669709,0.9415879360465169,B
499.24262152777777,462.76711203835225,137,36.47550948942552,194.708251953125,137,349.2749107604566,4.227289024758534,418.39496478413844,0.8536719521985674,B
567.0170557776163,386.524658203125,185,180.4923975744913,218.536376953125,185,348.88823426120103,5.156688201121767,418.39366317991664,0.9414564633200371,B
498.5851271609043,343.57305112092394,178,155.01207603998034,219.2138671875,178,348.47899525251745,5.100710172179731,418.4134780245377,1.087386760305776,B
303.0576963682432,302.16081175085617,3,0.8968846173870588,141.2326006822183,3,358.81059315415587,0.6571278577379758,423.2803602923946,0.2762739060764261,A
303.19959852430554,301.9107394748264,73,1.2888590494791288,4.333166173986487,73,150.52781240765165,1.8557986697634874,422.5871703195728,1.5993001930501691,A
